# %ECSV 0.9
# ---
# delimiter: ","
# datatype:
# - {name: Wavelength, unit: micron, datatype: float64}
# - {name: y, unit: micron, datatype: float64}
# - {name: x, unit: micron, datatype: float64}
Wavelength,y,x
1.73502,0.0,101.7
1.73641,0.0,102.3
1.73779,0.0,102.9
1.73918,0.0,103.6
1.74056,0.0,104.2
1.74195,0.0,104.8
1.74333,0.0,105.4
1.74471,0.0,106.1
1.74610,0.0,106.7
1.74748,0.0,107.3
1.74887,0.0,107.9
1.75025,0.0,108.6
1.75164,0.0,109.2
1.75302,0.0,109.8
1.75441,0.0,110.4
1.75579,0.0,111.1
1.75717,0.0,111.7
1.75856,0.0,112.3
1.75994,0.0,112.9
1.76133,0.0,113.5
1.76271,0.0,114.2
1.76410,0.0,114.8
1.76548,0.0,115.4
1.76686,0.0,116.0
1.76825,0.0,116.6
1.76963,0.0,117.2
1.77102,0.0,117.9
1.77240,0.0,118.5
1.77379,0.0,119.1
1.77517,0.0,119.7
1.77656,0.0,120.3
1.77794,0.0,120.9
1.77932,0.0,121.6
1.78071,0.0,122.2
1.78209,0.0,122.8
1.78348,0.0,123.4
1.78486,0.0,124.0
1.78625,0.0,124.6
1.78763,0.0,125.2
1.78902,0.0,125.8
1.79040,0.0,126.5
1.79178,0.0,127.1
1.79317,0.0,127.7
1.79455,0.0,128.3
1.79594,0.0,128.9
1.79732,0.0,129.5
1.79871,0.0,130.1
1.80009,0.0,130.7
1.80147,0.0,131.3
1.80286,0.0,131.9
1.80424,0.0,132.5
1.80563,0.0,133.1
1.80701,0.0,133.7
1.80840,0.0,134.4
1.80978,0.0,135.0
1.81117,0.0,135.6
1.81255,0.0,136.2
1.81393,0.0,136.8
1.81532,0.0,137.4
1.81670,0.0,138.0
1.81809,0.0,138.6
1.81947,0.0,139.2
1.82086,0.0,139.8
1.82224,0.0,140.4
1.82362,0.0,141.0
1.82501,0.0,141.6
1.82639,0.0,142.2
1.82778,0.0,142.8
1.82916,0.0,143.4
1.83055,0.0,144.0
1.83193,0.0,144.6
1.83332,0.0,145.2
1.83470,0.0,145.8
1.83608,0.0,146.4
1.83747,0.0,147.0
1.83885,0.0,147.6
1.84024,0.0,148.1
1.84162,0.0,148.7
1.84301,0.0,149.3
1.84439,0.0,149.9
1.84577,0.0,150.5
1.84716,0.0,151.1
1.84854,0.0,151.7
1.84993,0.0,152.3
1.85131,0.0,152.9
1.85270,0.0,153.5
1.85408,0.0,154.1
1.85547,0.0,154.7
1.85685,0.0,155.3
1.85823,0.0,155.9
1.85962,0.0,156.4
1.86100,0.0,157.0
1.86239,0.0,157.6
1.86377,0.0,158.2
1.86516,0.0,158.8
1.86654,0.0,159.4
1.86792,0.0,160.0
1.86931,0.0,160.6
1.87069,0.0,161.1
1.87208,0.0,161.7
1.87346,0.0,162.3
1.87485,0.0,162.9
1.87623,0.0,163.5
1.87762,0.0,164.1
1.87900,0.0,164.7
1.88038,0.0,165.2
1.88177,0.0,165.8
1.88315,0.0,166.4
1.88454,0.0,167.0
1.88592,0.0,167.6
1.88731,0.0,168.2
1.88869,0.0,168.7
1.89008,0.0,169.3
1.89146,0.0,169.9
1.89284,0.0,170.5
1.89423,0.0,171.1
1.89561,0.0,171.6
1.89700,0.0,172.2
1.89838,0.0,172.8
1.89977,0.0,173.4
1.90115,0.0,174.0
1.90253,0.0,174.5
1.90392,0.0,175.1
1.90530,0.0,175.7
1.90669,0.0,176.3
1.90807,0.0,176.8
1.90946,0.0,177.4
1.91084,0.0,178.0
1.91223,0.0,178.6
1.91361,0.0,179.1
1.91499,0.0,179.7
1.91638,0.0,180.3
1.91776,0.0,180.9
1.91915,0.0,181.4
1.92053,0.0,182.0
1.92192,0.0,182.6
1.92330,0.0,183.1
1.92468,0.0,183.7
1.92607,0.0,184.3
1.92745,0.0,184.9
1.92884,0.0,185.4
1.93022,0.0,186.0
1.93161,0.0,186.6
1.93299,0.0,187.1
1.93438,0.0,187.7
1.93576,0.0,188.3
1.93714,0.0,188.9
1.93853,0.0,189.4
1.93991,0.0,190.0
1.94130,0.0,190.6
1.94268,0.0,191.1
1.94407,0.0,191.7
1.94545,0.0,192.3
1.94683,0.0,192.8
